Frame         Time          Bond          Angle         Dihed         Impr          Elec          VdW           Conf          Nonbond       Total         
271           271           +276.371      +865.695      +329.82       +58.3063      -1688.86      -265.332      +1530.19      -1954.2       -424.003      
272           272           +264.6        +848.291      +365.278      +57.4964      -1775.67      -242.482      +1535.66      -2018.15      -482.486      
273           273           +298.5        +849.696      +330.347      +65.8374      -1773.88      -242.674      +1544.38      -2016.55      -472.173      
274           274           +274.687      +841.297      +343.826      +58.852       -1745.31      -258.626      +1518.66      -2003.94      -485.279      
275           275           +291.029      +801.059      +344.921      +51.1389      -1744.95      -233.415      +1488.15      -1978.37      -490.217      
276           276           +268.3        +861.716      +341.249      +42.9395      -1739.89      -293.695      +1514.21      -2033.58      -519.377      
277           277           +300.643      +886.518      +331.83       +62.054       -1783.44      -260.097      +1581.04      -2043.54      -462.496      
278           278           +303.547      +856.84       +336.057      +50.0623      -1813.62      -234.494      +1546.51      -2048.11      -501.606      
279           279           +280.821      +849.854      +337.931      +63.4338      -1741.87      -267.025      +1532.04      -2008.89      -476.852      
280           280           +289.759      +850.376      +337.099      +54.3016      -1760.1       -278.548      +1531.54      -2038.65      -507.11       
281           281           +287.162      +909.973      +339.398      +60.2488      -1806.52      -268.474      +1596.78      -2075         -478.214      
282           282           +284.199      +807.495      +318.992      +66.7303      -1661.53      -268.573      +1477.42      -1930.11      -452.69       
283           283           +305.396      +861.413      +325.447      +49.8563      -1746.53      -240.508      +1542.11      -1987.04      -444.925      
284           284           +292.634      +824.591      +323.768      +52.5894      -1708.53      -275.785      +1493.58      -1984.32      -490.737      
285           285           +293.387      +841.981      +347.886      +57.4401      -1792.62      -256.554      +1540.69      -2049.18      -508.484      
286           286           +284.528      +869.061      +331.134      +57.1491      -1694.02      -238.098      +1541.87      -1932.11      -390.241      
287           287           +297.752      +852.881      +347.028      +61.5931      -1695.62      -274.765      +1559.25      -1970.38      -411.127      
