Frame         Time          Bond          Angle         Dihed         Impr          Elec          VdW           Conf          Nonbond       Total         
0             0             +233.92       +718.759      +324.377      +44.2109      -1757.65      -281.382      +1321.27      -2039.04      -717.768      
1             1             +270.568      +727.306      +310.062      +44.9971      -1755.71      -299.259      +1352.93      -2054.97      -702.035      
2             2             +252.125      +789.333      +333.277      +49.1971      -1776.95      -287.48       +1423.93      -2064.43      -640.497      
3             3             +241.449      +776.057      +334.916      +46.125       -1736.76      -295.651      +1398.55      -2032.41      -633.862      
4             4             +256.989      +761.317      +314.973      +51.7529      -1757.85      -272.119      +1385.03      -2029.97      -644.935      
5             5             +255.611      +765.733      +340.617      +39.2349      -1783.38      -280.785      +1401.2       -2064.16      -662.965      
6             6             +256.681      +719.514      +348.618      +44.002       -1694.82      -284.662      +1368.81      -1979.48      -610.663      
7             7             +244.259      +742.256      +320.103      +49.2658      -1701.25      -306.675      +1355.88      -2007.93      -652.042      
8             8             +253.101      +742.363      +331.014      +45.8887      -1670.07      -291.325      +1372.37      -1961.39      -589.028      
9             9             +246.231      +786.972      +315.82       +44.067       -1674.59      -265.72       +1393.09      -1940.31      -547.217      
10            10            +268.142      +779.325      +314.404      +58.4268      -1668.58      -295.606      +1420.3       -1964.19      -543.892      
11            11            +262.015      +770.339      +316.625      +37.2694      -1658.73      -316.786      +1386.25      -1975.51      -589.266      
12            12            +253.803      +769.069      +322.8        +43.1274      -1655.61      -295.06       +1388.8       -1950.67      -561.867      
13            13            +240.347      +771.575      +334.283      +47.5558      -1643.36      -299.685      +1393.76      -1943.04      -549.283      
14            14            +281.734      +788.75       +310.317      +41.8025      -1665.07      -293.081      +1422.6       -1958.15      -535.543      
15            15            +294.789      +775.819      +307.481      +49.0839      -1624.85      -289.775      +1427.17      -1914.63      -487.454      
16            16            +284.175      +772.227      +315.266      +46.1062      -1606.52      -288.909      +1417.77      -1895.43      -477.658      
17            17            +271.223      +741.434      +322.035      +55.7091      -1620.98      -300.525      +1390.4       -1921.51      -531.108      
18            18            +237.862      +771.128      +315.717      +50.9113      -1623.72      -295.743      +1375.62      -1919.46      -543.847      
19            19            +259.53       +752.542      +301.068      +45.0182      -1709.19      -268.459      +1358.16      -1977.65      -619.489      
20            20            +272.359      +720.62       +327.302      +50.1898      -1691.91      -265.695      +1370.47      -1957.6       -587.131      
21            21            +284.502      +803.159      +316.082      +39.1297      -1704.98      -269.5        +1442.87      -1974.48      -531.611      
22            22            +255.712      +779.305      +326.946      +45.3906      -1676.66      -293.529      +1407.35      -1970.19      -562.834      
23            23            +250.782      +716.625      +310.058      +42.6645      -1608.06      -255.13       +1320.13      -1863.19      -543.057      
24            24            +259.945      +761.501      +302.777      +48.1227      -1567.66      -302.348      +1372.35      -1870.01      -497.661      
25            25            +258.733      +767.616      +346.459      +44.2491      -1609.04      -281.125      +1417.06      -1890.17      -473.112      
26            26            +258.007      +766.765      +309.145      +44.994       -1640.74      -276.922      +1378.91      -1917.67      -538.754      
27            27            +239.437      +749.655      +346.54       +43.3046      -1652.21      -307.435      +1378.94      -1959.65      -580.71       
28            28            +263.67       +787.153      +326.655      +44.7771      -1630.78      -293.241      +1422.26      -1924.02      -501.766      
29            29            +251.994      +799.249      +333.041      +42.2199      -1577.64      -265.496      +1426.5       -1843.13      -416.627      
30            30            +236.953      +750.799      +314.609      +57.9505      -1634.39      -287.469      +1360.31      -1921.86      -561.549      
31            31            +258.691      +808.553      +318.132      +46.1595      -1686.96      -293.289      +1431.54      -1980.25      -548.714      
32            32            +265.503      +795.505      +311.672      +48.5826      -1680.02      -281.998      +1421.26      -1962.01      -540.751      
33            33            +272.264      +774.614      +321.485      +38.3409      -1638.06      -266.846      +1406.7       -1904.9       -498.2        
34            34            +253.699      +766.093      +316.493      +47.7701      -1666.07      -295.181      +1384.06      -1961.25      -577.193      
35            35            +230.471      +756.825      +310.99       +38.2097      -1716.53      -261.338      +1336.5       -1977.87      -641.374      
36            36            +276.784      +793.619      +310.253      +39.5814      -1699.27      -289.911      +1420.24      -1989.18      -568.946      
37            37            +273.185      +784.984      +302.743      +43.0275      -1715.63      -282.032      +1403.94      -1997.66      -593.72       
38            38            +270.393      +796.22       +318.545      +49.1267      -1690.45      -286.913      +1434.28      -1977.36      -543.075      
39            39            +275.053      +776.539      +317.834      +36.8899      -1657.78      -303.906      +1406.32      -1961.68      -555.369      
40            40            +267.214      +780.104      +321.571      +55.1874      -1625.48      -306.894      +1424.08      -1932.38      -508.301      
41            41            +266.841      +771.272      +315.382      +48.4684      -1647.94      -287.518      +1401.96      -1935.46      -533.495      
42            42            +272.705      +776.377      +314.39       +39.9591      -1597         -298.427      +1403.43      -1895.43      -491.995      
43            43            +241.167      +758.946      +302.294      +48.3043      -1616.63      -310.707      +1350.71      -1927.34      -576.624      
44            44            +258.878      +772.471      +319.932      +47.2652      -1679.38      -272.435      +1398.55      -1951.82      -553.272      
45            45            +284.189      +758.92       +335.493      +55.1069      -1658.87      -306.204      +1433.71      -1965.07      -531.362      
46            46            +257.147      +794.64       +304.137      +48.4085      -1700.24      -273.277      +1404.33      -1973.51      -569.183      
47            47            +273.092      +777.481      +318.256      +45.9202      -1673.75      -281.467      +1414.75      -1955.22      -540.471      
48            48            +237.718      +762.535      +289.683      +46.7823      -1634.54      -301.766      +1336.72      -1936.31      -599.588      
49            49            +266.156      +782.717      +312.578      +48.5724      -1686.6       -280.962      +1410.02      -1967.56      -557.536      
50            50            +258.005      +794.802      +324.439      +54.1034      -1649.8       -307.812      +1431.35      -1957.61      -526.261      
51            51            +265.629      +809.951      +316.008      +45.139       -1622.17      -301.233      +1436.73      -1923.41      -486.68       
