Frame         Time          Bond          Angle         Dihed         Impr          Elec          VdW           Conf          Nonbond       Total         
272           272           +216.381      +684.032      +281.832      +44.1949      -1724.2       -297.075      +1226.44      -2021.28      -794.836      
273           273           +228.438      +709.019      +291.909      +33.1277      -1675.18      -290.014      +1262.49      -1965.19      -702.698      
274           274           +238.144      +696.669      +286.599      +39.6588      -1720.95      -266.824      +1261.07      -1987.77      -726.703      
275           275           +245.36       +710.945      +293.613      +29.176       -1726.89      -291.651      +1279.09      -2018.54      -739.443      
276           276           +230.292      +662.25       +306.792      +43.8404      -1702.1       -302.417      +1243.17      -2004.52      -761.341      
277           277           +214.559      +694.885      +300.391      +42.6338      -1682.27      -293.022      +1252.47      -1975.29      -722.824      
278           278           +234.289      +681.647      +304.906      +38.2686      -1687.05      -293.113      +1259.11      -1980.16      -721.048      
279           279           +199.778      +662.294      +310.814      +49.7022      -1675.84      -302.126      +1222.59      -1977.96      -755.375      
280           280           +211.351      +682.966      +282.968      +46.3038      -1680.9       -300.773      +1223.59      -1981.67      -758.083      
281           281           +211.819      +744.123      +291.835      +43.6978      -1731.24      -298.243      +1291.48      -2029.49      -738.011      
282           282           +222.809      +677.909      +293.432      +44.3256      -1672.7       -294.036      +1238.48      -1966.74      -728.264      
283           283           +216.745      +676.313      +289.027      +36.6656      -1709.34      -262.055      +1218.75      -1971.4       -752.646      
284           284           +232.098      +664.137      +305.062      +40.4525      -1685.37      -293.766      +1241.75      -1979.13      -737.383      
285           285           +223.809      +684.353      +298.05       +43.091       -1655.19      -275.78       +1249.3       -1930.97      -681.665      
286           286           +235.483      +722.546      +312.435      +44.73        -1668.51      -303.817      +1315.19      -1972.32      -657.13       
287           287           +212.979      +648.899      +303.307      +34.8855      -1687.29      -303.936      +1200.07      -1991.22      -791.152      
