0 -1488.0514
1 -1664.1965
2 -1749.6596
3 -1769.3747
4 -1731.3299
5 -1770.2218
6 -1835.8041
7 -1764.5694
8 -1835.4571
9 -1835.8458
10 -1875.2669
11 -1813.7824
12 -1875.9960
13 -1875.6261
14 -1875.9947
15 -1875.9965
16 -1948.9933
17 -1984.3722
18 -1978.4300
19 -1987.3567
20 -1987.2984
21 -1987.3595
22 -2022.5929
23 -1949.5853
24 -2024.4789
25 -2024.1479
26 -2024.4785
27 -2080.4977
28 -2100.8660
29 -2085.8184
30 -2101.0062
31 -2101.0081
32 -2116.0092
33 -2027.7385
34 -2122.0211
35 -2121.9776
36 -2122.0223
37 -2151.7038
38 -2098.7552
39 -2152.7842
40 -2152.5344
41 -2152.7865
42 -2152.7867
43 -2154.9944
44 -1946.2434
45 -2179.9002
46 -2179.6653
47 -2179.8985
48 -2179.9004
49 -2176.5142
50 -2194.3711
51 -2212.6496
52 -2145.7040
53 -2216.2762
54 -2216.0785
55 -2216.2761
56 -2228.1743
57 -2168.6613
58 -2231.9516
59 -2231.9179
60 -2231.9517
61 -2253.4579
62 -2234.2416
63 -2253.4381
64 -2253.4991
65 -2270.9112
66 -2247.9854
67 -2270.9752
68 -2270.9993
69 -2274.8357
70 -2210.9859
71 -2281.4817
72 -2281.3794
73 -2281.4806
74 -2281.4817
75 -2303.3820
76 -2286.5373
77 -2303.5322
78 -2303.5345
79 -2320.5931
80 -2271.7151
81 -2322.4458
82 -2324.3097
83 -2248.0643
84 -2333.4509
85 -2333.3539
86 -2333.4511
87 -2347.1124
88 -2311.6666
89 -2348.1084
90 -2348.1031
91 -2348.1091
92 -2361.4618
93 -2331.2906
94 -2362.2497
95 -2371.9093
96 -2334.2922
97 -2373.9570
98 -2373.8440
99 -2373.9563
100 -2373.9570
100 -1747.9198
200 -1747.4753
300 -1750.5769
400 -1751.3246
500 -1745.3043
600 -1734.8584
700 -1742.0236
800 -1747.6519
900 -1740.8435
1000 -1743.2235
1100 -1736.5275
1200 -1737.0130
1300 -1737.4827
1400 -1746.6998
1500 -1744.5511
1600 -1752.4775
1700 -1751.6885
1800 -1755.3050
1900 -1761.8321
2000 -1764.7819
2100 -1757.9912
2200 -1773.1725
2300 -1766.8319
2400 -1758.1740
2500 -1752.5470
2600 -1755.9996
2700 -1761.5478
2800 -1741.4948
2900 -1740.4676
3000 -1744.5519
3100 -1738.0979
3200 -1742.6185
3300 -1743.5591
3400 -1745.0881
3500 -1734.5577
3600 -1731.6199
3700 -1729.2391
3800 -1727.6560
3900 -1718.7490
4000 -1711.8039
4100 -1725.0612
4200 -1711.8790
4300 -1708.4668
4400 -1708.4231
4500 -1722.0904
4600 -1721.4187
4700 -1724.9337
4800 -1723.9224
4900 -1725.9206
5000 -1734.9399
5100 -1726.3072
5200 -1725.6923
5300 -1719.6511
5400 -1730.8566
5500 -1739.2932
5600 -1734.4089
5700 -1743.2630
5800 -1749.5298
5900 -1755.2807
6000 -1746.5013
6100 -1754.3015
6200 -1751.7952
6300 -1758.0982
6400 -1747.9577
6500 -1747.1320
6600 -1732.9821
6700 -1738.0105
6800 -1744.2933
6900 -1750.6551
7000 -1752.2565
7100 -1748.3697
7200 -1751.3839
7300 -1741.4435
7400 -1738.0511
7500 -1732.8612
7600 -1738.0378
7700 -1725.4837
7800 -1713.6345
7900 -1715.2949
8000 -1715.6238
8100 -1721.0308
8200 -1716.4319
8300 -1715.5348
8400 -1709.5939
8500 -1711.9490
8600 -1710.4407
8700 -1701.1186
8800 -1700.8705
8900 -1697.8203
9000 -1713.2011
9100 -1705.4574
9200 -1706.9783
9300 -1713.5105
9400 -1709.6767
9500 -1705.9774
9600 -1697.3286
9700 -1692.9041
9800 -1676.0771
9900 -1669.8517
10000 -1684.1440
10100 -1683.7107
10200 -1697.8550
10300 -1705.9782
10400 -1704.3069
10500 -1706.7104
10600 -1699.4783
10700 -1703.4451
10800 -1704.7087
10900 -1709.0634
11000 -1699.6785
11100 -1695.3458
11200 -1692.7360
11300 -1696.2928
11400 -1678.3559
11500 -1675.8929
11600 -1683.8539
11700 -1679.2958
11800 -1684.6339
11900 -1686.6236
12000 -1688.8556
12100 -1689.4195
12200 -1696.1458
12300 -1702.9821
12400 -1708.3906
12500 -1710.1028
12600 -1713.5292
12700 -1708.3525
12800 -1703.2818
12900 -1697.3996
13000 -1702.7717
13100 -1707.5554
13200 -1708.5824
13300 -1713.1484
13400 -1710.7047
13500 -1696.2504
13600 -1691.1518
13700 -1689.9671
13800 -1691.8060
13900 -1693.7853
14000 -1686.3217
14100 -1690.9063
14200 -1686.7851
